"Player","Team","Pos","Ht","Wt","Hometown","Exp","Debut","DOB","Age","G","MPG","PPG","RPG","APG"
"Zach LaVine","CHI","SG","6-06","200","","","2015","1995-03-10","29","25","34.4","19.4","5.2","3.9"
"Josh Hart","NYK","SF","6-05","215","Silver Spring, Maryland","","2018","1995-03-06","29","91","34.1","10.2","8.8","4.2"
"Andrew Wiggins","GSW","SF","6-07","202","Toronto, Canada","","2015","1995-02-23","29","72","26.5","13.2","4.5","1.7"
"Devonte' Graham","SAS","SG","6-01","185","Raleigh, North Carolina","","2019","1995-02-22","29","23","13.1","5.0","1.6","2.1"
"Nikola Jokic","DEN","C","7-00","250","Sombor, Serbia-Montenegro","","2016","1995-02-19","29","88","34.7","26.5","12.5","8.9"
"Bobby Portis","MIL","C","6-10","250","Little Rock, Arkansas","","2016","1995-02-10","29","88","24.4","14.0","7.7","1.3"
"Xavier Moon","LAC","PG","6-02","190","Goodwater, AL","","2022","1995-01-02","29","13","8.5","2.5","1.4","1.6"
"Giannis Antetokounmpo","MIL","PF","6-11","242","Athens, Greece","","2014","1994-12-06","29","73","34.6","30.4","11.5","6.5"
"Kenrich Williams","OKC","SF","6-06","210","Waco, Texas","","2019","1994-12-02","29","74","13.7","4.4","2.9","1.3"
"Julius Randle","NYK","PF","6-08","250","Dallas, Texas","","2015","1994-11-29","29","46","35.1","23.9","9.2","4.9"
"Yuta Watanabe","PHO","","6-08","205","Miki, Japan","","2019","1994-10-13","29","27","14.1","3.7","1.7","0.4"
"Gary Harris","ORL","SG","6-04","210","Fishers, Indiana","","2015","1994-09-14","29","60","23.7","6.6","1.7","1.5"
"Ish Wainright","POR","PF","6-05","235","Kansas City, MO","","2022","1994-09-12","29","7","5.5","2.3","1.4","0.1"
"Caris LeVert","CLE","SF","6-06","204","Columbus, Ohio","","2017","1994-08-25","29","78","27.7","13.4","4.0","4.7"
"Jusuf Nurkic","PHO","C","7-00","275","Tuzla, Bosnia","","2015","1994-08-23","29","80","26.8","10.8","10.9","3.9"
"Cameron Payne","MIL","PG","6-03","190","Memphis, Tennessee","","2016","1994-08-08","29","47","15.9","7.2","1.5","2.5"
"Derrick White","BOS","PG","6-04","190","Parker, Colorado","","2018","1994-07-02","29","81","32.2","15.7","4.1","5.0"
"Clint Capela","ATL","C","6-10","240","Geneva, Switzerland","","2015","1994-05-18","29","74","25.4","11.6","10.7","1.3"
"Duncan Robinson","MIA","SG","6-07","210","York, Maine","","2019","1994-04-22","30","74","26.2","12.1","2.4","2.7"
"Dario Saric","GSW","PF","6-10","250","Sibenik, Croatia","","2017","1994-04-08","30","64","16.7","8.0","4.4","2.2"
"Ryan Arcidiacono","NYK","SG","6-03","200","","","2018","1994-03-26","30","16","2.1","0.0","0.6","0.2"
"Taurean Prince","LAL","SF","6-07","220","San Marcos, Texas","","2017","1994-03-22","30","85","26.0","8.8","2.9","1.5"
"Kris Dunn","UTA","PG","6-03","205","New London, Connecticut","","2017","1994-03-18","30","64","19.0","5.6","3.0","3.9"
"Terry Rozier","CHH","PG","6-01","190","Youngstown, Ohio","","2016","1994-03-17","30","30","33.0","19.8","4.1","5.6"
"Joel Embiid","PHI","C","7-00","260","Yaounde, Cameroon","","2017","1994-03-16","30","46","34.2","34.3","11.0","5.6"
"Jerami Grant","POR","PF","6-08","220","Portland, Oregon","","2015","1994-03-12","30","54","33.4","21.0","3.5","2.8"
"Marcus Smart","MEM","PG","6-03","220","","","2015","1994-03-06","30","20","30.2","14.5","2.7","4.2"
"Alex Caruso","CHI","SF","6-05","186","College Station, Texas","","2018","1994-02-28","30","73","28.3","10.0","3.8","3.5"
"Fred VanVleet","HOU","PG","6-01","195","Rockford, IL","","2017","1994-02-25","30","73","36.3","17.4","3.8","8.0"
"Pascal Siakam","TOR","PF","6-09","230","Douala, Cameroon","","2017","1994-02-04","30","39","32.9","21.6","7.2","4.2"
"Vasilije Micic","OKC","PG","6-06","202","Kraljevo, Serbia-Montenegro","","2024","1994-01-13","30","30","19.1","7.0","1.5","4.4"
"Buddy Hield","IND","SG","6-04","214","Freeport, Bahamas","","2017","1993-12-17","30","53","24.6","11.7","3.1","2.7"
"Richaun Holmes","DAL","C","6-10","235","Lockport, IL","","2016","1993-10-15","30","23","13.4","5.0","4.6","0.6"
"Shaquille Harrison","MEM","","6-07","190","Kansas City, MO","","2018","1993-10-06","30","3","1.7","0.7","0.3","0.0"
"Kyle Anderson","MIN","PF","6-09","230","New York, NY","","2015","1993-09-20","30","86","21.5","6.1","3.4","4.0"
"Dennis Schroder","TOR","PG","6-01","172","Braunschweig, Germany","","2014","1993-09-15","30","51","30.6","14.0","3.0","6.1"
"Josh Richardson","MIA","PG","6-05","200","Edmond, OK","","2016","1993-09-15","30","43","24.8","9.9","2.8","2.4"
"Andre Drummond","CHI","C","6-10","279","Mount Vernon, New York","","2013","1993-08-10","30","81","16.5","8.3","8.8","0.5"
"Steven Adams","MEM","PF","6-11","265","Rotorua, New Zealand","","2014","1993-07-20","30","1","15.0","7.0","7.0","1.0"
"Bradley Beal","PHO","SG","6-03","207","","","2013","1993-06-28","30","57","33.2","18.1","4.3","4.9"
"Georges Niang","CLE","PF","6-07","230","","","2017","1993-06-17","30","90","21.0","8.8","3.2","1.1"
"Alex Len","SAC","C","7-00","250","Antratsit, Ukraine","","2014","1993-06-16","30","49","8.8","2.4","2.7","1.0"
"Danuel House","PHI","SF","6-06","207","Sugar Land, Texas","","2018","1993-06-07","30","34","14.5","4.2","1.7","0.8"
"Royce O'Neale","BRK","PF","6-04","226","Killeen, Texas","","2018","1993-06-05","30","49","24.3","7.6","4.8","2.7"
"Otto Porter","TOR","","6-08","198","St. Louis, Missouri","","2014","1993-06-03","30","15","11.1","2.6","2.0","0.5"
"Norman Powell","LAC","SG","6-03","215","San Diego, California","","2016","1993-05-25","30","82","26.0","13.8","2.6","1.0"
"Dorian Finney-Smith","BRK","PF","6-07","220","Portsmouth, Virginia","","2017","1993-05-04","31","68","28.2","8.6","4.7","1.6"
"Juan Toscano-Anderson","SAC","PF","6-06","215","Oakland, CA","","2020","1993-04-10","31","9","5.2","0.8","1.6","0.4"
"Spencer Dinwiddie","BRK","PG","6-05","210","Los Angeles, California","","2015","1993-04-06","31","48","26.8","9.9","2.6","4.4"
"Anthony Davis","LAL","C","6-10","253","","","2013","1993-03-11","31","83","35.6","25.0","13.0","3.5"
"Kentavious Caldwell-Pope","DEN","SG","6-05","205","Thomaston, Georgia","","2014","1993-02-18","31","85","31.4","9.8","2.4","2.4"
"Chris Boucher","TOR","C","6-09","200","Castries, St. Lucia","","2018","1993-01-11","31","50","13.6","6.5","4.1","0.5"
"Pat Connaughton","MIL","SF","6-05","209","Arlington, Massachusetts","","2016","1993-01-06","31","82","21.5","5.5","3.2","2.1"
"Larry Nance","NOP","C","6-07","230","","","2016","1993-01-01","31","67","19.6","5.9","5.3","1.9"
"Malcolm Brogdon","POR","PG","6-05","224","Norcross, GA","","2017","1992-12-11","31","40","28.3","15.7","3.8","5.4"
"Gary Payton II","GSW","","6-03","190","Seattle, WA","","2017","1992-12-01","31","43","15.0","5.4","2.5","1.1"
"Davis Bertans","OKC","PF","6-10","225","Valmiera, Latvia","","2017","1992-11-12","31","13","15.9","7.1","1.5","0.9"
"Evan Fournier","NYK","SF","6-07","205","Saint-Maurice, France","","2013","1992-10-29","31","4","17.6","6.9","1.8","1.5"
"Anthony Gill","WAS","C","6-08","230","Charlottesville, Virginia","","2021","1992-10-17","31","43","10.3","4.4","2.2","0.8"
"Cody Zeller","NOP","C","7-00","240","Washington, IN","","2014","1992-10-05","31","42","7.2","1.8","2.7","0.9"
"Bismack Biyombo","MEM","C","6-08","255","Lubumbashi, Congo","","2012","1992-08-28","31","29","19.7","4.5","5.3","1.4"
"Bogdan Bogdanovic","ATL","SG","6-06","205","Belgrade, Serbia-Montenegro","","2018","1992-08-18","31","80","30.0","16.9","3.4","3.2"
"Thanasis Antetokounmpo","MIL","PF","6-06","215","Athens, Greece","","2016","1992-07-17","31","31","4.5","1.0","0.4","0.5"
"Tobias Harris","PHI","PF","6-08","235","Islip, New York","","2012","1992-07-15","31","77","33.5","16.5","6.6","3.0"
"Rudy Gobert","MIN","C","7-01","245","Saint-Quentin, France","","2014","1992-06-26","31","83","33.5","13.8","12.7","1.4"
"Jordan Clarkson","UTA","SG","6-04","194","","","2015","1992-06-07","31","55","30.1","17.1","3.4","5.1"
"Harrison Barnes","SAC","SF","6-08","225","","","2013","1992-05-30","31","84","28.7","12.3","3.1","1.3"
"Jonas Valanciunas","NOP","C","6-11","265","","","2013","1992-05-06","32","88","22.9","12.3","9.0","2.1"
"Delon Wright","WAS","PG","6-05","183","Los Angeles, California","","2016","1992-04-26","32","33","16.2","4.8","2.0","2.4"
"Daniel Theis","LAC","C","6-08","243","Salzgitter, Germany","","2018","1992-04-04","32","60","16.4","6.3","4.0","1.0"
"T.J. McConnell","IND","PG","6-01","190","","","2016","1992-03-25","32","82","17.8","10.3","2.7","5.5"
"Kyrie Irving","DAL","SG","6-02","193","Melbourne, Australia","","2012","1992-03-23","32","67","35.1","25.3","5.0","5.2"
"Tim Hardaway Jr","DAL","SF","6-05","205","Orinda, CA","","2023","1992-03-16","32","84","25.6","14.0","3.1","1.7"
"Maxi Kleber","DAL","C","6-10","240","","","2018","1992-01-29","32","49","19.7","4.6","3.2","1.6"
"Doug McDermott","SAS","PF","6-07","225","","","2015","1992-01-03","32","46","13.3","5.3","0.9","1.1"
"C.J. McCollum","NOP","PG","6-03","190","Canton, OH","","2014","1991-09-19","32","72","32.5","19.6","4.3","4.6"
"Joe Harris","DET","","6-06","218","Chelan, WA","","2015","1991-09-07","32","16","10.1","2.4","0.8","0.6"
"Cory Joseph","GSW","PG","6-03","193","Toronto, Canada","","2012","1991-08-20","32","26","10.9","2.4","1.2","1.6"
"Khris Middleton","MIL","SF","6-07","222","North Charleston, South Carolina","","2013","1991-08-12","32","61","27.6","16.0","5.1","5.2"
"Alec Burks","DET","SG","6-06","214","Grandview, MO","","2012","1991-07-20","32","44","17.6","10.4","2.3","1.3"
"Dwight Powell","DAL","C","6-10","240","Toronto, Canada","","2015","1991-07-20","32","62","13.1","3.4","3.5","1.4"
"Mike Muscala","WAS","C","6-10","240","St. Louis Park, MN","","2014","1991-07-01","32","24","11.3","3.1","2.4","0.7"
"Kawhi Leonard","LAC","PF","6-07","230","","","2012","1991-06-29","32","70","33.7","23.4","6.1","3.6"
"Kelly Olynyk","UTA","C","6-11","240","Toronto, Canada","","2014","1991-04-19","33","50","22.0","9.8","5.3","4.4"
"Reggie Bullock","HOU","SG","6-06","205","Baltimore, Maryland","","2014","1991-03-16","33","43","9.2","2.2","1.7","0.3"
"Tristan Thompson","CLE","C","6-09","238","Brampton, Canada","","2012","1991-03-13","33","56","10.6","3.1","3.3","1.0"
"Torrey Craig","CHI","SF","6-07","215","Columbia, South Carolina","","2018","1990-12-19","33","55","18.8","5.6","4.0","1.1"
"Robert Covington","LAC","","6-07","225","","","2014","1990-12-14","33","3","16.4","4.4","3.3","0.9"
"Nikola Vucevic","CHI","C","6-11","260","Morges, Switzerland","","2012","1990-10-24","33","78","33.9","18.1","10.5","3.3"
"Seth Curry","DAL","SG","6-02","185","","","2014","1990-08-23","33","34","14.1","5.4","1.6","1.0"
"Damian Lillard","MIL","PG","6-02","195","Oakland, CA","","2013","1990-07-15","33","77","35.0","24.7","4.3","6.9"
"Jae Crowder","MIL","SF","6-06","235","Villa Rica, Georgia","","2013","1990-07-06","33","54","21.7","5.9","3.1","1.3"
"Jrue Holiday","BOS","SG","6-03","205","Mission Hills, CA","","2010","1990-06-12","33","77","32.6","12.1","5.4","4.7"
"Paul George","LAC","SF","6-08","220","","","2011","1990-05-02","34","80","33.6","22.3","5.4","3.6"
"Reggie Jackson","DEN","PG","6-03","208","Pordenone, Italy","","2012","1990-04-16","34","91","20.5","9.6","1.9","3.5"
"Gordon Hayward","CHH","SF","6-07","225","Brownsburg, Indiana","","2011","1990-03-23","34","25","21.7","8.6","3.2","2.7"
"Mason Plumlee","LAC","C","6-11","235","Warsaw, Indiana","","2014","1990-03-05","34","51","14.0","5.2","5.0","1.2"
"Draymond Green","GSW","C","6-06","230","Saginaw, Michigan","","2013","1990-03-04","34","55","26.7","8.7","7.1","6.0"
"Klay Thompson","GSW","SG","6-06","215","Los Angeles, California","","2012","1990-02-08","34","77","29.3","17.6","3.3","2.3"
"Jimmy Butler","MIA","SF","6-07","236","Houston, Texas","","2012","1989-09-14","34","61","33.8","20.7","5.3","5.0"
"Markieff Morris","DAL","C","6-08","245","Philadelphia, PA","","2012","1989-09-02","34","25","8.1","2.6","1.6","0.6"
"Marcus Morris","PHI","PF","6-08","235","Philadelphia, PA","","2012","1989-09-02","34","37","15.7","6.1","2.7","0.7"
"James Harden","LAC","PG","6-05","220","","","2010","1989-08-26","34","78","34.3","16.9","5.1","8.5"
"DeMar DeRozan","CHI","SF","6-06","220","Compton, California","","2010","1989-08-07","34","81","37.4","24.0","4.3","5.3"
"Bojan Bogdanovic","DET","PF","6-08","216","Mostar, Bosnia","","2015","1989-04-18","35","29","24.9","14.8","2.8","1.7"
"Justin Holiday","DEN","SG","6-06","181","Mission Hills, CA","","2013","1989-04-05","35","65","14.5","4.1","1.3","1.1"
"Eric Gordon","PHO","SG","6-03","215","Indianapolis, IN","","2009","1988-12-25","35","72","27.3","10.8","1.8","2.0"
"Nicolas Batum","LAC","PF","6-09","200","","","2009","1988-12-14","35","3","25.7","5.7","4.4","2.1"
"Russell Westbrook","LAC","PG","6-03","200","Long Beach, CA","","2009","1988-11-12","35","74","21.8","10.7","5.0","4.3"
"Derrick Rose","MEM","PG","6-02","190","Chicago, IL","","2009","1988-10-04","35","24","15.6","8.0","1.8","3.2"
"Kevin Durant","PHO","PF","6-10","240","Washington, District of Columbia","","2008","1988-09-29","35","79","36.9","27.1","6.6","4.9"
"Kevin Love","MIA","C","6-08","251","Santa Monica, California","","2009","1988-09-07","35","62","15.4","8.4","5.8","2.0"
"Boban Marjanovic","HOU","C","7-04","290","Zajecar, Yugoslavia","","2016","1988-08-15","35","13","5.1","3.5","2.5","0.4"
"Patrick Mills","ATL","","6-01","180","Canberra, Australia","","2010","1988-08-11","35","1","16.0","3.0","1.0","2.0"
"Danilo Gallinari","WAS","PF","6-10","225","Sant'Angelo Lodigiano, Italy","","2009","1988-08-08","35","26","12.3","5.5","2.2","1.1"
"DeAndre Jordan","DEN","C","6-11","265","Houston, Texas","","2009","1988-07-21","35","37","10.4","3.9","4.3","0.7"
"Patrick Beverley","PHI","PG","6-01","185","Chicago, IL","","2013","1988-07-12","35","47","20.7","6.3","3.3","3.1"
"Ish Smith","CHH","PG","6-00","175","Charlotte, North Carolina","","2011","1988-07-05","35","43","16.7","3.3","1.8","3.3"
"Thaddeus Young","TOR","C","6-08","221","New Orleans, Louisiana","","2008","1988-06-21","35","23","12.5","4.0","3.0","1.7"
"Robin Lopez","MIL","C","7-00","275","North Hollywood, CA","","2009","1988-04-01","36","14","4.1","1.3","0.4","0.3"
"Brook Lopez","MIL","C","7-00","270","Los Angeles, California","","2009","1988-04-01","36","85","30.2","12.9","5.1","1.6"
"Stephen Curry","GSW","PG","6-03","190","Akron, Ohio","","2010","1988-03-14","36","74","32.3","26.4","4.4","5.1"
"JaVale McGee","SAC","C","7-00","270","Flint, Michigan","","2009","1988-01-19","36","46","6.8","4.1","2.7","0.4"
"Mike Conley","MIN","PG","6-01","175","Fayetteville, Arkansas","","2008","1987-10-11","36","84","28.6","11.4","3.0","6.0"
"Joe Ingles","ORL","SF","6-07","226","Happy Valley, Australia","","2015","1987-10-02","36","75","16.0","4.1","2.1","2.9"
"Danny Green","PHI","","6-06","215","North Babylon, New York","","2010","1987-06-22","36","2","8.5","0.0","1.0","0.5"
"James Johnson","IND","PF","6-07","240","Cheyenne, WY","","2010","1987-02-20","37","8","5.4","1.0","0.5","1.0"
"Wesley Matthews","ATL","SG","6-04","220","San Antonio, TX","","2010","1986-10-14","37","37","10.9","3.0","1.4","0.6"
"Jeff Green","HOU","C","6-08","235","Cheverly, Maryland","","2008","1986-08-28","37","78","16.3","6.5","2.3","0.9"
"Al Horford","BOS","C","6-09","245","Puerto Plata, Dominican Republic","","2008","1986-06-03","37","73","26.4","8.5","6.4","2.5"
"Garrett Temple","TOR","SF","6-05","195","Baton Rouge, LA","","2010","1986-05-08","38","27","10.2","3.3","1.7","1.0"
"Kyle Lowry","MIA","PG","6-00","196","Philadelphia, Pennsylvania","","2007","1986-03-25","38","37","27.7","8.0","3.2","4.1"
"Taj Gibson","NYK","C","6-09","235","Brooklyn, NY","","2010","1985-06-24","38","13","11.4","2.0","2.2","0.6"
"Chris Paul","GSW","PG","6-01","175","Winston-Salem, North Carolina","","2006","1985-05-06","39","58","25.8","9.2","3.8","6.6"
"P.J. Tucker","PHI","PF","6-05","245","","","2007","1985-05-05","39","3","15.3","1.9","2.7","0.5"
"LeBron James","LAL","PF","6-09","250","Akron, OH","","2004","1984-12-30","39","78","35.2","25.7","7.3","8.3"
"Jamaree Bouyea","POR","","6-02","180","Salinas, CA","","2023","","54","6","9.0","1.7","1.7","1.2"
"Stanley Umude","DET","","6-06","210","Portland, OR","","2023","","54","22","13.3","5.8","2.3","0.5"
"Nate Williams","HOU","SG","6-05","215","Columbia, LA","","2024","1950-05-02","74","16","6.2","3.1","1.4","0.3"
"Mason Jones","SAC","PG","6-04","200","—","","2024","0000-00-00","—","4","6.0","1.8","1.2","1.2"
"Jahmi'us Ramsey","TOR","PG","6-04","190","—","","2024","0000-00-00","—","7","17.0","6.7","3.1","1.1"
"Andrew Funk","CHI","SG","6-05","200","—","","2024","0000-00-00","—","3","3.3","0.0","0.0","0.0"
"Quenton Jackson","IND","SG","6-05","173","—","","2024","0000-00-00","—","3","2.7","0.7","1.3","0.7"
"Henri Drell","CHI","PF","6-09","220","—","","2024","0000-00-00","—","4","7.0","2.8","1.0","1.0"
"Adam Flagler","OKC","SG","6-03","180","—","","2024","0000-00-00","—","2","6.5","1.5","0.0","2.0"
"DeJon Jarreau","MEM","PG","6-05","180","—","","2024","0000-00-00","—","9","16.1","4.8","4.9","2.9"
"Pat Spencer","GSW","PG","6-03","205","—","","2024","0000-00-00","—","4","5.0","1.0","1.0","1.2"
"Wenyen Gabriel","MEM","PF","6-09","205","—","","2024","0000-00-00","—","5","15.8","3.4","5.0","0.6"
"Izaiah Brockington","NOP","SG","6-04","196","—","","2024","0000-00-00","—","1","3.0","4.0","2.0","0.0"
"Jaylen Nowell","DET","SG","6-04","201","—","","2024","0000-00-00","—","4","14.0","7.5","2.5","0.8"
"T.J. Warren","MIN","SF","6-08","220","—","","2024","0000-00-00","—","13","9.9","3.2","1.9","0.8"
"Jeff Dowtin","PHI","PG","6-03","185","—","","2024","0000-00-00","—","11","12.3","4.7","1.8","2.5"
"Jalen Crutcher","NOP","PG","6-02","175","—","","2024","0000-00-00","—","1","2.0","0.0","0.0","0.0"
"Buddy Boeheim","DET","SG","6-05","205","—","","2024","0000-00-00","—","10","8.0","3.4","1.0","0.3"
"Maozinha Pereira","MEM","PF","6-08","177","—","","2024","0000-00-00","—","7","16.9","6.9","5.3","0.3"
"Jack White","MEM","PF","6-06","225","—","","2024","0000-00-00","—","4","15.5","1.5","3.0","0.2"
"Jamaree Bouyea","SAS","PG","6-02","180","—","","2024","0000-00-00","—","3","12.3","3.7","3.0","1.0"
"Isaiah Thomas","PHO","PG","5-09","185","—","","2024","0000-00-00","—","6","3.0","1.3","0.0","0.5"
"Tristan Vukcevic","WAS","C","6-10","220","—","","2024","0000-00-00","—","10","15.1","8.5","3.6","1.3"
"Kobi Simmons","TOR","PG","6-05","180","—","","2024","0000-00-00","—","4","16.5","5.0","1.8","3.0"
"David Duke","SAS","SG","6-04","205","—","","2024","0000-00-00","—","4","12.5","6.5","2.5","1.2"
"Raiquan Gray","SAS","C","6-07","269","—","","2024","0000-00-00","—","3","12.3","7.7","2.3","2.0"
"DJ Wilson","PHI","C","6-10","231","—","","2024","0000-00-00","—","1","13.0","10.0","2.0","2.0"
"Timmy Allen","MEM","SF","6-06","210","—","","2024","0000-00-00","—","5","24.8","2.6","3.4","1.0"
"Javonte Green","CHI","PF","6-05","205","—","","2024","0000-00-00","—","11","24.0","12.0","6.9","1.1"
"Mo Bamba","PHI","","7-00","221","—","","2024","0000-00-00","—","1","1.0","0.0","0.0","0.0"
"Zavier Simpson","MEM","PG","6-00","190","—","","2024","0000-00-00","—","7","22.4","6.0","2.9","3.6"
"Malik Williams","TOR","C","6-11","250","—","","2024","0000-00-00","—","7","15.0","2.7","5.4","0.3"
"Jerome Robinson","GSW","SF","6-04","190","—","","2024","0000-00-00","—","16","3.9","1.9","0.3","0.3"
"Jay Huff","DEN","","7-01","240","—","","2024","0000-00-00","—","1","1.0","2.0","0.0","0.0"
"Patty Mills","ATL","PG","6-01","180","Canberra, Australia","","2024","0000-00-00","—","17","12.9","4.2","1.0","1.1"
"Marques Bolden","MIL","C","6-11","250","—","","2024","0000-00-00","—","1","11.4","3.7","3.4","0.4"
"Charlie Brown","NYK","SF","6-06","199","—","","2024","0000-00-00","—","6","5.3","1.0","0.3","0.0"
"Daniel Theis","IND","","6-08","243","Salzgitter, Germany","","2024","0000-00-00","—","1","8.0","2.0","0.0","0.0"
"Nate Mensah","CHH","C","6-09","230","—","","2024","0000-00-00","—","24","12.2","1.4","2.7","0.4"
"Cam Thomas","BRK","SG","6-04","210","—","","2024","0000-00-00","—","52","31.1","22.2","3.3","3.0"
"GG Jackson","MEM","PF","6-09","210","—","","2024","0000-00-00","—","45","26.8","15.5","4.3","1.3"
"Dmytro Skapintsev","NYK","C","7-01","215","—","","2024","0000-00-00","—","1","1.0","0.0","0.0","0.0"
"Brandon Williams","DAL","PG","6-01","190","—","","2024","0000-00-00","—","16","6.5","3.4","0.8","1.1"
"Mamadi Diakite","SAS","PF","6-09","228","—","","2024","0000-00-00","—","3","5.0","2.3","0.8","0.3"
"Dylan Windler","LAL","SF","6-07","196","—","","2024","0000-00-00","—","7","7.8","3.3","1.2","0.8"
"Hamidou Diallo","WAS","SG","6-05","202","—","","2024","0000-00-00","—","1","3.0","2.0","2.0","1.0"
"Justin Champagnie","WAS","SF","6-06","206","—","","2024","0000-00-00","—","15","15.2","5.9","3.5","1.3"
"Pete Nance","CLE","PF","6-10","225","—","","2024","0000-00-00","—","7","3.3","0.4","0.4","0.0"
"Scotty Pippen","MEM","PG","6-01","170","—","","2024","0000-00-00","—","21","24.7","12.9","3.2","4.7"
"Taze Moore","POR","SF","6-05","195","—","","2024","0000-00-00","—","4","9.8","4.5","2.0","1.2"
"Trey Jemison","WAS","C","6-10","260","—","","2024","0000-00-00","—","2","22.6","6.8","5.4","1.1"
"Matthew Hurt","MEM","C","6-09","233","—","","2024","0000-00-00","—","8","13.8","4.0","2.0","0.5"
"Tosan Evbuomwan","MEM","PF","6-07","217","—","","2024","0000-00-00","—","4","21.5","6.1","3.5","0.9"
"Ashton Hagans","POR","PG","6-03","198","—","","2024","0000-00-00","—","19","16.1","4.2","2.4","2.8"
"Jason Preston","UTA","PG","6-03","181","—","","2024","0000-00-00","—","7","9.7","1.7","2.4","2.3"
"Mouhamadou Gueye","TOR","C","6-09","210","—","","2024","0000-00-00","—","11","10.5","2.4","2.1","0.5"
"Alondes Williams","MIA","SG","6-04","210","—","","2024","0000-00-00","—","6","2.2","0.8","0.2","0.0"
"Vit Krejci","ATL","SF","6-08","195","—","","2024","0000-00-00","—","22","24.1","6.1","2.4","2.3"
"D.J. Carton","TOR","PG","6-04","190","—","","2024","0000-00-00","—","4","8.5","2.8","0.8","0.5"
"Darius Bazley","PHI","PF","6-09","216","—","","2024","0000-00-00","—","3","16.6","5.3","3.1","0.8"
"Gary Trent Jr.","TOR","SG","6-05","205","—","","2019","","","71","27.6","13.7","2.6","1.7"